"Nome";"Categoria";"Telefone";"E-mail";"Site";"Tem site";"Instagram";"Tem Instagram";"Cidade";"Estado";"Status";"Tipo";"Score";"Avaliação";"Nº avaliações";"Fonte";"Google Maps";"Criado em"
"Movel Veículos";"Concessionária";"(77) 2101-1000";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"83";"4.3";"463";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJM9kaOVA6RgcRYFJbmcsYhbw";"28/06/2026"
"Chevrolet Topvel Vitória da Conquista";"Concessionária";"(77) 3429-8900";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"83";"4.3";"732";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJEx0eSRE7RgcRVy_aQsu82rA";"28/06/2026"
"Brumado Veiculos";"Concessionária";"(77) 98841-0753";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"87";"4.3";"30";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJqeov1KI7RgcRVfkwZfN58XE";"28/06/2026"
"Pinho Car";"Concessionária";"";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"91";"4.4";"5";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJ2SLqXqU7RgcROPtLlJEc3NQ";"28/06/2026"
"Conquista Car";"Concessionária";"(77) 98825-3656";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"88";"4.7";"15";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJSykuJ6k7RgcRDHYb6QD5OEc";"28/06/2026"
"BYD - Vitória da Conquista";"Concessionária";"(77) 2101-1040";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"88";"4.2";"29";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJSVKM5qE7RgcRve-BUYsA1AQ";"28/06/2026"
"Hyundai Aikon Veículos - Vitória da Conquista Bahia";"Concessionária";"(77) 2101-5900";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"82";"4.5";"600";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJd00o2aU7RgcR6CXqmhBpENM";"28/06/2026"
"Saguascar";"Concessionária";"(77) 3424-3019";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"87";"4.6";"27";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJ0T-Jngc7RgcRLSsHaOQLW1A";"28/06/2026"
"Stark JEEP | RAM - Vitória da Conquista";"Concessionária";"(77) 4009-7751";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"82";"4.5";"344";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJQ1aVBwY7RgcRpLlHaQnjymM";"28/06/2026"
"Imports Motors";"Concessionária";"(77) 98124-4930";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"90";"5";"3";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJU5dGpsU7RgcRO3e8MZc3qzs";"28/06/2026"
"Localiza Seminovos - Candeias";"Concessionária";"(77) 3025-0800";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"86";"4.7";"35";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJwf53TTI7RgcRzSvOqpeQAMU";"28/06/2026"
"Concessionária Fiat Cambuí";"Concessionária";"(77) 2101-2000";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"83";"4.2";"587";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJs2c2ihA7RgcRzt2pmnD5G-o";"28/06/2026"
"Localiza Seminovos";"Concessionária";"(77) 3086-8800";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"83";"4.6";"212";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJe8yanQc7RgcRPqTNP_0kzgE";"28/06/2026"
"Rodaleve Renault Vitória da Conquista/BA";"Concessionária";"(77) 2101-3100";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"82";"4.5";"880";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJZXdmOC47RgcR5_byN7NSG9c";"28/06/2026"
"Coreana Veículos";"Concessionária";"(77) 3425-8585";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"85";"4.4";"92";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJuSCF5Q47RgcRe9u74APyAgI";"28/06/2026"
"Movel Caminhões";"Concessionária";"(77) 3201-3000";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"83";"4.4";"229";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJSYr48A47RgcR-ZrMFez2iH4";"28/06/2026"
