"Nome";"Categoria";"Telefone";"E-mail";"Site";"Tem site";"Instagram";"Tem Instagram";"Cidade";"Estado";"Status";"Tipo";"Score";"Avaliação";"Nº avaliações";"Fonte";"Google Maps";"Criado em"
"Joncar Veículos";"Concessionária";"(77) 99804-8085";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"85";"4.3";"97";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJw-Eaoq07RgcR-8thiKgkedk";"28/06/2026"
"Aky Veículos - Seminovos";"Concessionária";"(77) 3421-9400";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"83";"4.7";"166";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJ3xjdbaw7RgcRWAItZo1_K2k";"28/06/2026"
"Portela Veículos";"Concessionária";"(77) 3422-3774";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"85";"4.6";"68";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJd8J02QQ7RgcRdp1cMcS7kA8";"28/06/2026"
"Arena Veículos";"Concessionária";"(77) 3421-8092";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"87";"4.5";"35";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJoXj_d6k7RgcRDkH4ghKjn8c";"28/06/2026"
"Citycar Comercio de Veiculos Ltda";"Concessionária";"(77) 3421-0707";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"83";"4.7";"188";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJjeLJvro7RgcROWobjze3NgI";"28/06/2026"
"Ricardo Veículos Seminovos";"Concessionária";"(77) 3424-6014";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"85";"4.7";"67";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJ-RqjHQM7RgcRiMDjfUQuwoY";"28/06/2026"
"Stopcar Veículos - Concessionária Vitória da Conquista";"Concessionária";"(77) 3422-9417";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"85";"4.6";"84";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJI3Qa2ag7RgcREaPGfeEyfi4";"28/06/2026"
"Karangos Multimarcas";"Concessionária";"(77) 99189-3426";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"85";"5";"57";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJCWxrmso7RgcRradSTAoO5Gw";"28/06/2026"
"SportCar Automóveis";"Concessionária";"(77) 3421-4402";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"87";"4.4";"41";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJXbo-aaw7RgcRNfHBdbTaHI4";"28/06/2026"
"HomeCar Veículos";"Concessionária";"(77) 99912-0861";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"88";"4.8";"13";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJKebvw247RgcRFGRwMdyOxFQ";"28/06/2026"
